"®M¥ó","¸ô®|","ª©¥»"
"assertthat","C:/Users/User/Documents/R/win-library/4.0","0.2.1"
"backports","C:/Users/User/Documents/R/win-library/4.0","1.1.10"
"base64enc","C:/Users/User/Documents/R/win-library/4.0","0.1-3"
"BH","C:/Users/User/Documents/R/win-library/4.0","1.72.0-3"
"cli","C:/Users/User/Documents/R/win-library/4.0","2.2.0"
"clipr","C:/Users/User/Documents/R/win-library/4.0","0.7.1"
"cpp11","C:/Users/User/Documents/R/win-library/4.0","0.2.3"
"crayon","C:/Users/User/Documents/R/win-library/4.0","1.3.4"
"crosstalk","C:/Users/User/Documents/R/win-library/4.0","1.1.0.1"
"curl","C:/Users/User/Documents/R/win-library/4.0","4.3"
"digest","C:/Users/User/Documents/R/win-library/4.0","0.6.25"
"DT","C:/Users/User/Documents/R/win-library/4.0","0.16"
"ellipsis","C:/Users/User/Documents/R/win-library/4.0","0.3.1"
"evaluate","C:/Users/User/Documents/R/win-library/4.0","0.14"
"fansi","C:/Users/User/Documents/R/win-library/4.0","0.4.1"
"glue","C:/Users/User/Documents/R/win-library/4.0","1.4.2"
"highr","C:/Users/User/Documents/R/win-library/4.0","0.8"
"hms","C:/Users/User/Documents/R/win-library/4.0","0.5.3"
"htmltools","C:/Users/User/Documents/R/win-library/4.0","0.5.0"
"htmlwidgets","C:/Users/User/Documents/R/win-library/4.0","1.5.3"
"jsonlite","C:/Users/User/Documents/R/win-library/4.0","1.7.1"
"knitr","C:/Users/User/Documents/R/win-library/4.0","1.30"
"later","C:/Users/User/Documents/R/win-library/4.0","1.1.0.1"
"lazyeval","C:/Users/User/Documents/R/win-library/4.0","0.2.2"
"lifecycle","C:/Users/User/Documents/R/win-library/4.0","0.2.0"
"magrittr","C:/Users/User/Documents/R/win-library/4.0","1.5"
"markdown","C:/Users/User/Documents/R/win-library/4.0","1.1"
"matlab","C:/Users/User/Documents/R/win-library/4.0","1.0.2"
"mime","C:/Users/User/Documents/R/win-library/4.0","0.9"
"mnormt","C:/Users/User/Documents/R/win-library/4.0","2.0.2"
"pillar","C:/Users/User/Documents/R/win-library/4.0","1.4.7"
"pkgconfig","C:/Users/User/Documents/R/win-library/4.0","2.0.3"
"prettyunits","C:/Users/User/Documents/R/win-library/4.0","1.1.1"
